lat,lon,Name,Adresse, Nb de places BePark,
48.8955191,2.4775020,Indigo - Gare,119 RUE ROGER SALENGRO  93140 BONDY  FRANCE, 93010002,lat,lon,Name,Adresse, Nb de places BePark,
48.9036746,2.4801066,Indigo - Anne Frank,30 RUE AUGUSTE POLLISSARD  93140 BONDY  FRANCE, 93010004,lat,lon,Name,Adresse, Nb de places BePark,
44.8278168,-0.6042761,Indigo - Groupe Hospitalier Pellegrin,GROUPE HOSPITALIER PELLEGRIN PLACE AMÉLIE RABA-LÉON 33000 BORDEAUX FRANCE, 33063008,lat,lon,Name,Adresse, Nb de places BePark,
44.8257911,-0.5588787,Indigo - P3 - Gare Saint Jean Belcier,ROND POINT PIERRE SEMARD  33800 BORDEAUX FRANCE, 33063009,lat,lon,Name,Adresse, Nb de places BePark,
44.8257911,-0.5588787,Indigo - P4 Gare Saint Jean Belcier,ROND POINT PIERRE SEMARD  33800 BORDEAUX FRANCE, 33063010,lat,lon,Name,Adresse, Nb de places BePark,
44.8219739,-0.5466860,Indigo - Ars Belcier,16 RUE DES MARAÎCHERS  33000 BORDEAUX FRANCE, 33063012,lat,lon,Name,Adresse, Nb de places BePark,
44.8235736,-0.5562783,Indigo - P3 - Dépose Minute - Zone Premium,PONT DU GUIT 33000 BORDEAUX FRANCE, 33063013,lat,lon,Name,Adresse, Nb de places BePark,
44.8391249,-0.5720917,Indigo - Camille Jullian,2 PLACE CAMILLE JULLIAN  33000 BORDEAUX FRANCE, 33063014,lat,lon,Name,Adresse, Nb de places BePark,
44.8255768,-0.5476092,Indigo - Brienne,QUAI DE PALUDATE 102 33800 BORDEAUX FRANCE, 33063020,lat,lon,Name,Adresse, Nb de places BePark,
44.8789273,-0.5684735,Indigo - Parking Centre Commercial Ginko,AVENUE DES 40 JOURNAUX  33300 BORDEAUX FRANCE, 33063016,lat,lon,Name,Adresse, Nb de places BePark,
44.8650479,-0.5597639,Indigo - Les Bassins,RUE LUCIEN FAURE, 33063017,lat,lon,Name,Adresse, Nb de places BePark,
44.8364002,-0.5552712,Indigo - BELVEDERE,QUAI DESCHAMPS 33100 BORDEAUX, 330018,lat,lon,Name,Adresse, Nb de places BePark,
44.8424104,-0.5611254,Indigo - Bordeaux Bastide,ALLÉE DE SERR 33000 BORDEAUX, 330019,lat,lon,Name,Adresse, Nb de places BePark,
44.8406781,-0.5705285,Indigo - TPS Bourse & Jean-Jaurès,2 PLACE DE LA BOURSE 33000 BORDEAUX, 33063021,lat,lon,Name,Adresse, Nb de places BePark,
44.8294056,-0.5622993,Indigo - TPS Meunier,PLACE ANDRÉ MEUNIER 33000 BORDEAUX, 33063022,lat,lon,Name,Adresse, Nb de places BePark,
44.8355141,-0.5649779,Indigo - TPS Salinières,12, QUAI DES SALINIÈRES 33000 BORDEAUX, 33063023,lat,lon,Name,Adresse, Nb de places BePark,
44.8439410,-0.5762820,Indigo - TPS Tourny,PLACE DES ALLÉES DE TOURNY, 33063024,lat,lon,Name,Adresse, Nb de places BePark,
48.8337352,2.2576582,Indigo - Point du Jour,PLACE ABEL GANCE 92100 BOULOGNE-BILLANCOURT, 92012002,lat,lon,Name,Adresse, Nb de places BePark,
48.8364585,2.2430207,Indigo - Bellefeuille,20 QUATER, RUE DE LA BELLEFEUILLE  92100 BOULOGNE-BILLANCOURT FRANCE, 92012011,lat,lon,Name,Adresse, Nb de places BePark,
48.8319213,2.2415693,Indigo - Marché,150 RUE DU VIEUX PONT DE SÈVRES  92100 BOULOGNE-BILLANCOURT FRANCE, 92012012,lat,lon,Name,Adresse, Nb de places BePark,
48.8310914,2.2401584,Indigo - Heyrault,PARKING RÉSERVÉ AUX ABONNES 12 BIS ET 14 RUE HEYRAULT 92100 BOULOGNE-BILLANCOURT FRANCE, 92012013,lat,lon,Name,Adresse, Nb de places BePark,
48.8246009,2.2367980,Indigo - Rives de Seine,38, QUAI GEORGES GORSE  92100 BOULOGNE-BILLANCOURT FRANCE, 92012015,lat,lon,Name,Adresse, Nb de places BePark,
48.8264920,2.2337623,Indigo - Cours de l'Ile Seguin,55, COURS DE L'ILE SEGUIN  92100 BOULOGNE-BILLANCOURT FRANCE, 92012016,lat,lon,Name,Adresse, Nb de places BePark,
48.8314259,2.2356865,Indigo - Forum Pont de Sèvres,90 AVENUE GÉNÉRAL LECLERC 92100, 9201218,lat,lon,Name,Adresse, Nb de places BePark,
48.6968394,2.1624263,Indigo - Parc Relais Gare,05 RUE DU GÉNÉRAL LECLERC  91440 BURES SUR YVETTE FRANCE, 91122001,lat,lon,Name,Adresse, Nb de places BePark,
48.6942634,2.1526802,Indigo - Parc Relais Hacquinière,27, AVENUE DU MARÉCHAL FOCH  91440 BURES SUR YVETTE FRANCE, 91122002,lat,lon,Name,Adresse, Nb de places BePark,
48.8369544,2.7078858,Indigo - Relais Bienvenue,5 BOULEVARD PIERRE MENDÈS FRANCE  77600 BUSSY-SAINT-GEORGES, 770503,lat,lon,Name,Adresse, Nb de places BePark,
49.1856374,-0.3602124,Indigo - Château,60 AVENUE DE LA LIBÉRATION  14000 CAEN FRANCE, 14118001,lat,lon,Name,Adresse, Nb de places BePark,
49.1813554,-0.3699256,Indigo - Hôtel de Ville,16, PLACE GUILLOUARD  14000 CAEN FRANCE, 14118002,lat,lon,Name,Adresse, Nb de places BePark,
49.1821242,-0.3652389,Indigo - Doumer,7 RUE PAUL DOUMER  14000 CAEN FRANCE, 14118003,lat,lon,Name,Adresse, Nb de places BePark,
49.1818904,-0.3631572,Indigo - République,3 PLACE DE LA RÉPUBLIQUE  14000 CAEN FRANCE, 14118004,lat,lon,Name,Adresse, Nb de places BePark,
49.1814449,-0.3559660,Indigo - Résistance,1 PLACE DE LA RÉSISTANCE  14000 CAEN FRANCE, 14118005,lat,lon,Name,Adresse, Nb de places BePark,
49.1791550,-0.3666680,Indigo - Gardin,PLACE GARDIN  14000 CAEN FRANCE, 14118007,lat,lon,Name,Adresse, Nb de places BePark,
49.1684631,-0.3455667,Indigo - Polyclinique du Parc,AVENUE GUYNEMER  14000 CAEN FRANCE, 14118010,lat,lon,Name,Adresse, Nb de places BePark,
49.1845734,-0.3573206,Indigo - Courtonne,COURTONNE  14000 CAEN FRANCE, 14118011,lat,lon,Name,Adresse, Nb de places BePark,
49.1923387,-0.3796444,Indigo - Plaisance 1,PLAISANCE 1  14000 CAEN FRANCE, 14118012,lat,lon,Name,Adresse, Nb de places BePark,
49.1923387,-0.3796444,Indigo - Plaisance 2,PLAISANCE 2  14000 CAEN FRANCE, 14118013,lat,lon,Name,Adresse, Nb de places BePark,
49.1829882,-0.3466654,Indigo - Presqu'Ile - Tribunal,17 AVENUE VICTOR HUGO 14000 CAEN, 14118018,lat,lon,Name,Adresse, Nb de places BePark,
49.1786168,-0.3487423,Indigo - Les Rives de l'Orne,8 RUE ROSA PARKS  14000 CAEN FRANCE, 14118009,lat,lon,Name,Adresse, Nb de places BePark,
43.6642799,7.1280098,Indigo - Polygone Riviera,119 AVENUE DES ALPES  06800 CAGNES-SUR-MER FRANCE, 06027007,lat,lon,Name,Adresse, Nb de places BePark,
43.6642799,7.1280098,Indigo - Polygone Riviera Enclos,119 AVENUE DES ALPES  06800 CAGNES-SUR-MER FRANCE, 06027012,lat,lon,Name,Adresse, Nb de places BePark,
43.6576861,7.1657150,Indigo - Mattei et Renoir,PASSAGE DES PÊCHEURS  06800 CAGNES-SUR-MER FRANCE, 06027016,lat,lon,Name,Adresse, Nb de places BePark,
50.9485366,1.8549783,Indigo - Centre Ville,14 RUE DU TEMPLE  62100 CALAIS FRANCE, 62193001,lat,lon,Name,Adresse, Nb de places BePark,
50.1657611,3.2245350,Indigo - C H CAMBRAI,516 AVENUE DE PARIS  59407 CAMBRAI FRANCE, 59122001,lat,lon,Name,Adresse, Nb de places BePark,
43.5507261,7.0255666,Indigo - Palais Stéphanie,50 BD DE LA CROISETTE, 06400 CANNES, 06029001,lat,lon,Name,Adresse, Nb de places BePark,
48.9566820,4.3630730,Indigo - GHV,51000 CHALONS-EN-CHAMPAGNE FRANCE, 51108004,lat,lon,Name,Adresse, Nb de places BePark,
48.9579704,4.3614756,Indigo - Viviers,1 RUE DES VIVIERS   51000 CHALONS-EN-CHAMPAGNE FRANCE, 51108005,lat,lon,Name,Adresse, Nb de places BePark,
45.5684799,5.9187422,Indigo - PALAIS DE JUSTICE,2, PLACE DU PALAIS DE JUSTICE  73000 CHAMBÉRY FRANCE, 73065007,lat,lon,Name,Adresse, Nb de places BePark,
48.8126470,2.1922849,Indigo - Chaville Atrium,965 AVENUE ROGER SALENGRO, 92022003,lat,lon,Name,Adresse, Nb de places BePark,
48.8558506,2.7742368,Indigo - Place d'Ariane,PLACE D'ARIANE  77700 CHESSY FRANCE, 77111002,lat,lon,Name,Adresse, Nb de places BePark,
48.8692921,2.7846137,Indigo - Disney Village,DISNEY VILLAGE AVENUE PAUL SÉRAMY 77700 CHESSY FRANCE, 77111003,lat,lon,Name,Adresse, Nb de places BePark,
45.7825145,3.0888441,Indigo - Carmes Delille,RUE HENRI BARBUSSE  63000 CLERMONT-FERRAND FRANCE, 63113002,lat,lon,Name,Adresse, Nb de places BePark,
45.7609131,3.0895646,Indigo - Relais Henri Dunant,PLACE HENRI DUNANT  63000 CLERMONT-FERRAND FRANCE, 63113009,lat,lon,Name,Adresse, Nb de places BePark,
